kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Kota Banjar,2020,93.88,71.7,4445.12,6.09,3.93,0.287
Cilacap,2020,94.56,69.95,104542.66,11.46,13.53,0.27
Banyumas,2020,94.82,71.98,53682.11,13.26,11.36,0.217
Purbalingga,2020,90.13,68.97,25093.68,15.9,11.54,0.338
Banjarnegara,2020,93.52,67.45,21694.38,15.64,12.87,0.435
Kebumen,2020,94.88,69.81,28014.91,17.59,12.55,0.191
Purworejo,2020,94.35,72.68,18646.49,11.78,16.51,0.204
Wonosobo,2020,101.78,68.22,18838.68,17.36,15.73,0.423
Magelang,2020,93.43,69.87,32462.03,11.27,13.75,0.28
Boyolali,2020,90.82,74.25,32687.59,10.18,12.59,0.233
Klaten,2020,94.75,75.56,39939.64,12.89,14.16,0.155
Sukoharjo,2020,95.41,76.98,36890.53,7.68,11.54,0.1
Wonogiri,2020,95.61,70.25,29166.53,10.86,15.8,0.248
Karanganyar,2020,97.25,75.86,37023.45,10.28,9.93,0.177
Sragen,2020,98.2,73.95,37850.99,13.38,10.98,0.253
Grobogan,2020,94.84,69.87,27268.74,12.46,16.85,0.397
Blora,2020,99.39,68.84,24004.21,11.96,15.35,0.355
Rembang,2020,102.3,70.02,18943.65,15.6,13.98,0.319
Pati,2020,103.56,71.77,43288.57,10.08,12.96,0.275
Kudus,2020,100.05,75.0,109538.56,7.31,10.06,0.169
Jepara,2020,105.25,71.99,30175.17,7.17,13.64,0.278
Demak,2020,103.45,72.22,26546.07,12.54,8.02,0.282
Semarang,2020,107.03,74.1,49046.72,7.51,9.68,0.261
Temanggung,2020,97.9,69.57,21557.08,9.96,16.16,0.368
Kendal,2020,98.02,72.29,42586.19,9.99,11.72,0.238
Batang,2020,94.26,68.65,21621.36,9.13,9.93,0.374
Pekalongan,2020,95.42,69.63,22803.19,10.19,7.81,0.286
Pemalang,2020,92.98,66.32,25820.81,16.02,10.26,0.347
Tegal,2020,94.3,68.39,35299.98,8.14,9.33,0.167
Brebes,2020,99.64,66.11,47058.6,17.03,11.3,0.353
Kota Magelang,2020,94.75,78.99,8713.16,7.58,10.58,0.124
Kota Surakarta,2020,97.85,82.21,47621.82,9.03,7.83,0.147
Kota Salatiga,2020,100.48,83.14,13271.84,4.94,6.54,0.13
Kota Semarang,2020,100.0,83.05,188731.69,4.34,5.69,0.115
Kota Pekalongan,2020,96.18,74.98,10848.87,7.17,7.35,0.146
Kota Tegal,2020,101.4,75.07,15224.68,7.8,5.82,0.136
Kulon Progo,2020,100.38,74.46,11738.12,18.01,13.29,0.087
Bantul,2020,101.98,80.01,26137.02,13.5,9.38,0.124
Gunung Kidul,2020,105.19,69.98,18936.17,17.07,14.52,0.277
Sleman,2020,101.02,83.84,45654.72,8.12,6.68,0.112
Kota Yogyakarta,2020,102.95,86.61,35724.05,7.27,8.3,0.108
Pacitan,2020,94.37,68.39,15785.2,14.54,11.25,0.318
Ponorogo,2020,99.69,70.81,20513.38,9.95,9.95,0.158
Trenggalek,2020,98.96,69.74,18314.46,11.62,12.69,0.274
Tulungagung,2020,101.75,73.0,38225.99,7.33,8.4,0.173
Blitar,2020,96.81,70.58,36023.96,9.33,11.39,0.214
Kediri,2020,97.83,72.05,40626.77,11.4,9.03,0.223
