kabupaten,tahun,indeks_kemahalan_konstruksi,indeks_pembangunan_manusia,produk_domestik_regional_bruto,persentase_penduduk_miskin,prevalensi_ketidakcukupan_konsumsi_pangan,proporsi_perempuan_melahirkan_anak_pertama_kurang_dari_20_tahun
Musi Rawas Utara,2022,90.17,65.74,8548.51,18.45,8.12,0.391
Kota Palembang,2022,89.45,79.47,179106.8,10.48,6.12,0.158
Kota Prabumulih,2022,93.96,75.52,9201.5,11.28,10.54,0.205
Kota Pagar Alam,2022,95.67,69.6,3255.93,8.47,11.09,0.182
Kota Lubuklinggau,2022,90.03,75.53,7687.85,12.68,9.03,0.299
Bengkulu Selatan,2022,95.69,71.42,6712.8,17.86,10.38,0.281
Rejang Lebong,2022,95.47,71.45,10992.82,15.65,16.55,0.331
Bengkulu Utara,2022,95.55,69.77,12318.65,11.48,9.91,0.32
Kaur,2022,97.4,67.77,4226.6,18.1,9.54,0.371
Seluma,2022,96.07,67.76,5436.5,18.36,8.63,0.393
Mukomuko,2022,95.6,69.12,6217.19,11.44,5.94,0.401
Lebong,2022,95.86,68.12,3888.92,12.03,12.66,0.341
Kepahiang,2022,93.69,69.09,5160.76,14.53,15.4,0.361
Bengkulu Tengah,2022,95.44,68.47,6544.56,9.76,9.3,0.44
Kota Bengkulu,2022,95.79,80.99,28090.43,15.73,14.61,0.178
Lampung Barat,2022,98.06,68.39,8277.7,11.71,12.82,0.334
Tanggamus,2022,86.74,67.22,18095.56,10.98,16.81,0.251
Lampung Selatan,2022,87.05,69.0,51285.0,13.14,13.06,0.308
Lampung Timur,2022,85.95,70.58,49709.86,13.98,15.41,0.237
Lampung Tengah,2022,86.62,70.8,82446.77,10.96,16.45,0.277
Lampung Utara,2022,88.88,68.33,27045.62,18.41,16.5,0.296
Way Kanan,2022,89.69,68.04,16233.22,11.76,12.65,0.383
Tulangbawang,2022,90.49,69.53,25986.24,8.42,14.79,0.378
Pesawaran,2022,87.39,66.7,18601.24,13.85,16.18,0.272
Pringsewu,2022,90.62,70.98,12841.95,9.34,16.3,0.228
Mesuji,2022,99.5,64.94,11952.99,6.84,11.88,0.354
Tulang Bawang Barat,2022,94.98,67.13,13232.98,7.44,15.78,0.341
Pesisir Barat,2022,96.24,65.14,5345.37,13.84,9.03,0.245
Kota Bandar Lampung,2022,87.18,78.01,68104.35,8.21,12.41,0.162
Kota Metro,2022,88.99,77.89,7224.29,7.87,11.51,0.14
Bangka,2022,102.25,72.95,17956.28,4.26,15.78,0.306
Belitung,2022,102.93,73.38,12321.75,6.45,15.21,0.322
Bangka Barat,2022,101.33,70.12,16759.09,2.46,16.42,0.374
Bangka Tengah,2022,101.28,71.4,10521.53,4.86,14.82,0.35
Bangka Selatan,2022,103.97,67.95,10690.96,3.22,15.86,0.435
Belitung Timur,2022,105.68,72.29,9783.22,6.49,14.78,0.338
Kota Pangkal Pinang,2022,102.08,79.24,17277.43,4.55,12.95,0.127
Karimun,2022,108.72,72.65,15554.5,6.87,15.12,0.169
Bintan,2022,106.82,74.99,24513.57,6.44,13.49,0.173
Natuna,2022,122.97,73.47,24265.43,5.32,15.53,0.287
Lingga,2022,121.05,66.57,4852.61,14.05,17.33,0.203
Kepulauan Anambas,2022,129.12,69.61,19909.09,7.51,11.18,0.295
Kota Batam,2022,113.5,81.67,194836.26,5.19,9.6,0.088
Kota Tanjung Pinang,2022,111.35,79.64,21792.47,9.85,14.21,0.091
Kep. Seribu,2022,126.62,72.79,10126.33,14.11,3.91,0.336
Kota Jakarta Selatan,2022,120.71,85.21,730695.17,3.52,2.51,0.11
Kota Jakarta Timur,2022,118.15,83.45,547052.29,4.3,3.71,0.115
Kota Jakarta Pusat,2022,124.96,82.11,795394.8,4.9,3.82,0.102
Kota Jakarta Barat,2022,121.53,82.51,540753.3,4.22,2.8,0.17
Kota Jakarta Utara,2022,117.22,80.81,587792.16,7.24,4.78,0.2
Bogor,2022,117.53,71.2,267743.69,7.73,7.03,0.328
Sukabumi,2022,101.93,67.64,76243.67,7.34,7.42,0.396
Cianjur,2022,105.89,65.94,53988.97,10.55,9.54,0.426
Bandung,2022,111.86,73.16,143002.07,6.8,8.3,0.308
Garut,2022,98.88,67.41,66590.62,10.42,7.74,0.4
Tasikmalaya,2022,104.96,66.84,42659.5,10.73,10.45,0.347
Ciamis,2022,98.46,71.45,36773.71,7.72,6.74,0.298
Kuningan,2022,97.84,70.16,29519.83,12.76,6.63,0.228
Cirebon,2022,104.22,70.06,56653.64,12.01,9.04,0.256
Majalengka,2022,103.56,68.56,37777.31,11.94,9.88,0.326
Sumedang,2022,104.36,72.69,40025.01,10.14,7.43,0.338
Indramayu,2022,108.11,68.55,90773.38,12.77,5.99,0.337
Subang,2022,107.26,69.87,46160.4,9.75,7.06,0.334
Purwakarta,2022,106.38,71.56,76477.55,8.7,6.72,0.371
Karawang,2022,104.03,71.74,268228.79,8.44,6.73,0.33
Bekasi,2022,106.88,75.22,367562.03,5.01,4.3,0.264
Bandung Barat,2022,114.99,69.04,52921.29,10.82,7.81,0.408
Pangandaran,2022,95.74,69.03,13163.7,9.32,5.77,0.3
Kota Bogor,2022,118.61,77.17,52914.6,7.1,5.35,0.197
Kota Sukabumi,2022,102.0,75.4,14192.25,8.02,8.46,0.228
Kota Bandung,2022,117.21,82.5,328151.44,4.25,4.55,0.202
Kota Cirebon,2022,100.01,75.89,26617.84,9.82,7.97,0.203
Kota Bekasi,2022,107.58,82.46,109881.38,4.43,3.33,0.152
Kota Depok,2022,113.87,81.86,81166.75,2.53,2.15,0.14
Kota Cimahi,2022,109.7,78.77,37538.21,5.11,4.63,0.174
Kota Tasikmalaya,2022,102.98,73.83,24974.68,12.72,7.92,0.187
Kota Banjar,2022,101.04,72.55,4928.02,6.73,6.4,0.261
Cilacap,2022,98.71,70.99,121021.8,11.02,16.69,0.265
Banyumas,2022,97.4,73.17,62817.29,12.84,11.93,0.21
Purbalingga,2022,97.12,69.54,28823.62,15.3,13.24,0.333
Banjarnegara,2022,99.46,68.61,24996.48,15.2,14.37,0.414
Kebumen,2022,97.14,70.79,32614.64,16.41,12.46,0.178
Purworejo,2022,97.92,73.6,21352.54,11.53,16.57,0.193
Wonosobo,2022,100.55,68.89,21587.23,16.17,14.92,0.425
Magelang,2022,97.3,70.85,37431.61,11.09,15.84,0.258
Boyolali,2022,100.01,74.97,38788.25,9.82,14.24,0.237
Klaten,2022,97.32,76.95,46591.61,12.33,15.45,0.155
Sukoharjo,2022,97.21,77.94,42780.63,7.61,12.74,0.152
Wonogiri,2022,98.25,71.04,33692.2,10.99,12.82,0.217
Karanganyar,2022,101.61,76.58,43087.76,9.85,10.68,0.183
Sragen,2022,99.46,74.65,44242.88,12.94,11.8,0.229
Grobogan,2022,100.15,70.97,31806.89,11.8,15.88,0.424
Blora,2022,100.03,69.95,30937.3,11.53,15.49,0.343
Rembang,2022,103.47,71.0,22107.21,14.65,11.22,0.354
Pati,2022,102.67,73.14,50188.82,9.33,9.83,0.291
Kudus,2022,103.39,75.89,114559.63,7.41,11.72,0.216
Jepara,2022,102.88,73.15,35036.38,6.88,12.11,0.345
Demak,2022,102.34,73.36,30252.47,12.09,9.0,0.295
Semarang,2022,105.59,74.67,56609.22,7.27,10.61,0.231
Temanggung,2022,100.67,70.77,24726.44,9.33,14.99,0.38
Kendal,2022,100.86,73.19,49661.96,9.48,13.87,0.255
Batang,2022,101.41,69.45,25443.55,8.98,10.23,0.361
Pekalongan,2022,101.65,70.81,25962.59,9.67,7.8,0.277
Pemalang,2022,102.62,67.19,29915.42,15.06,11.54,0.332
Tegal,2022,99.97,69.53,40770.33,7.9,12.18,0.19
Brebes,2022,103.12,67.03,53647.59,16.05,11.0,0.361
Kota Magelang,2022,97.69,80.39,10073.48,7.1,9.48,0.111
Kota Surakarta,2022,102.24,83.08,55848.55,8.84,9.52,0.102
Kota Salatiga,2022,102.8,84.35,15381.49,4.73,5.97,0.161
Kota Semarang,2022,104.61,84.08,227373.36,4.25,7.08,0.103
Kota Pekalongan,2022,102.43,75.9,12590.98,7.0,8.41,0.104
Kota Tegal,2022,102.99,76.15,17679.91,7.91,9.07,0.18
Kulon Progo,2022,101.36,75.46,14325.95,16.39,19.09,0.087
Bantul,2022,101.23,80.69,31192.71,12.27,11.42,0.1
Gunung Kidul,2022,104.78,70.96,22758.35,15.86,22.85,0.261
Sleman,2022,102.95,84.31,54718.66,7.74,8.08,0.128
Kota Yogyakarta,2022,101.54,87.69,42621.75,6.62,12.06,0.119
Pacitan,2022,96.66,69.37,17986.47,13.8,15.38,0.26
Ponorogo,2022,101.02,71.87,23028.25,9.32,11.11,0.165
Trenggalek,2022,98.3,71.0,20882.31,10.96,14.27,0.283
Tulungagung,2022,100.95,74.06,44133.48,6.71,9.45,0.181
Blitar,2022,95.45,71.86,41379.31,8.71,12.76,0.19
Kediri,2022,95.95,73.46,46650.03,10.65,9.97,0.222
Malang,2022,104.67,71.38,117422.03,9.55,13.2,0.301
Lumajang,2022,98.36,66.95,36663.73,9.06,9.25,0.379
Jember,2022,96.52,67.97,88030.45,9.39,14.09,0.44
Banyuwangi,2022,102.8,71.94,93278.95,7.51,11.09,0.276
Bondowoso,2022,97.34,67.31,22901.86,13.47,16.87,0.47
Situbondo,2022,95.02,68.25,23128.64,11.78,19.65,0.413
Probolinggo,2022,93.29,66.96,38932.78,17.12,13.68,0.54
Pasuruan,2022,100.28,69.68,172654.17,8.96,11.57,0.325
Sidoarjo,2022,108.14,81.02,245227.46,5.36,6.34,0.121
Mojokerto,2022,101.69,74.89,95798.11,9.71,7.65,0.249
Jombang,2022,101.08,74.05,45935.67,9.04,9.63,0.212
Nganjuk,2022,100.07,72.93,30819.75,10.7,11.11,0.216
Madiun,2022,98.67,72.39,21859.38,10.79,14.09,0.158
Magetan,2022,101.95,74.85,21194.74,9.84,9.67,0.159
Ngawi,2022,93.69,71.75,22454.95,14.15,14.87,0.207
Bojonegoro,2022,102.05,70.12,100492.89,12.21,10.39,0.281
Tuban,2022,102.24,69.67,75187.65,15.02,7.59,0.248
Lamongan,2022,103.6,74.02,45441.05,12.53,5.91,0.211
Gresik,2022,113.71,77.16,163907.91,11.06,6.6,0.177
Bangkalan,2022,104.07,65.05,27164.2,19.44,14.61,0.268
Sampang,2022,101.57,63.39,23009.31,21.61,13.44,0.345
Pamekasan,2022,102.91,66.99,19263.35,13.93,12.63,0.329
Sumenep,2022,106.97,67.87,40255.32,18.76,3.72,0.406
Kota Kediri,2022,96.9,79.59,152778.31,7.23,6.41,0.122
Kota Blitar,2022,93.91,79.93,7833.94,7.37,7.21,0.158
Kota Malang,2022,102.33,82.71,84807.43,4.37,6.7,0.135
Kota Probolinggo,2022,91.87,74.56,12931.38,6.65,6.77,0.255
Kota Pasuruan,2022,95.06,76.54,9452.82,6.37,6.72,0.156
Kota Mojokerto,2022,100.67,79.32,7637.02,5.98,5.79,0.122
Kota Madiun,2022,96.64,82.01,15818.61,4.76,6.82,0.064
Kota Surabaya,2022,105.67,82.74,655616.22,4.72,4.37,0.149
Kota Batu,2022,102.49,77.22,18587.6,3.79,6.09,0.25
Pandeglang,2022,87.58,65.84,32075.99,9.32,4.39,0.385
Lebak,2022,91.29,64.71,33474.0,8.91,3.45,0.436
Tangerang,2022,100.47,72.97,160164.84,6.92,2.28,0.237
Serang,2022,94.89,67.75,87982.2,4.96,2.9,0.29
Kota Tangerang,2022,105.58,78.9,182401.21,5.77,1.71,0.166
Kota Cilegon,2022,99.66,73.95,120765.57,3.64,2.04,0.197
Kota Serang,2022,100.48,72.98,36723.31,5.94,2.42,0.247
Kota Tangerang Selatan,2022,103.15,81.95,96135.92,2.5,1.5,0.162
Jembrana,2022,103.04,73.58,14532.26,5.3,11.38,0.266
Tabanan,2022,101.12,76.75,23681.3,5.18,8.57,0.15
Badung,2022,107.92,82.13,55290.0,2.53,4.66,0.119
Gianyar,2022,102.77,78.39,27944.21,4.7,3.89,0.148
Klungkung,2022,107.55,72.55,9210.21,6.07,6.83,0.179
Bangli,2022,106.79,70.26,7337.99,5.28,6.68,0.308
Karangasem,2022,101.28,68.28,17669.49,6.98,13.18,0.272
Buleleng,2022,102.97,73.45,35805.28,6.21,11.74,0.269
Kota Denpasar,2022,109.62,84.37,54633.83,2.97,6.02,0.147
Lombok Barat,2022,104.09,69.41,16561.85,13.39,2.83,0.376
Lombok Tengah,2022,102.23,67.57,19243.33,12.89,2.82,0.376
Lombok Timur,2022,106.43,67.59,22599.76,15.14,1.32,0.333
Sumbawa,2022,99.67,68.89,16107.72,13.5,2.37,0.217
Dompu,2022,107.93,69.15,7826.0,12.4,2.53,0.254
Bima,2022,112.32,67.57,12734.25,14.5,3.95,0.2
Sumbawa Barat,2022,96.47,72.65,31512.49,13.02,0.83,0.201
Lombok Utara,2022,100.31,65.7,5050.98,25.93,2.92,0.302
Kota Mataram,2022,104.09,79.59,21182.26,8.63,1.29,0.277
Kota Bima,2022,112.03,76.84,4574.61,8.8,1.44,0.166
Sumba Barat,2022,95.7,64.43,2583.33,27.47,10.89,0.184
Sumba Timur,2022,96.26,66.17,6829.54,28.22,7.71,0.232
Kupang,2022,83.62,65.04,8485.37,21.7,17.66,0.18
Timor Tengah Selatan,2022,89.84,62.73,8810.39,25.45,15.92,0.199
Timor Tengah Utara,2022,82.61,64.26,4493.89,21.5,14.04,0.268
Belu,2022,81.85,63.22,5035.59,14.84,16.0,0.218
Alor,2022,105.43,62.26,3363.59,20.25,12.95,0.199
Lembata,2022,97.06,65.47,2020.76,25.18,18.36,0.152
Flores Timur,2022,98.17,64.93,5654.89,10.75,15.71,0.183
Sikka,2022,89.8,66.06,5702.89,12.61,13.97,0.197
Ende,2022,90.05,67.97,6792.62,23.0,10.99,0.149
Ngada,2022,90.1,68.26,3819.4,11.93,11.2,0.147
Manggarai,2022,105.6,65.83,5097.72,19.84,11.33,0.173
Rote Ndao,2022,99.57,63.21,3502.73,27.45,24.11,0.265
Manggarai Barat,2022,100.12,64.92,3883.61,17.15,10.09,0.189
Sumba Tengah,2022,96.61,62.71,1303.82,32.51,9.69,0.132
Sumba Barat Daya,2022,95.74,63.15,4176.82,27.16,7.73,0.16
Nagekeo,2022,89.17,66.22,2487.14,12.05,12.74,0.114
Manggarai Timur,2022,98.92,62.3,3649.53,25.35,13.04,0.231
Sabu Raijua,2022,107.9,57.9,1545.74,28.73,10.15,0.271
Malaka,2022,85.01,61.34,3144.3,15.26,16.49,0.228
Kota Kupang,2022,88.3,80.2,26211.8,8.61,17.54,0.117
Sambas,2022,109.18,67.95,24386.48,6.92,18.48,0.239
Bengkayang,2022,109.21,68.74,10322.51,6.03,17.53,0.29
Landak,2022,110.01,67.17,12775.86,10.01,18.71,0.395
Mempawah,2022,105.62,66.94,9955.62,5.32,21.96,0.312
Sanggau,2022,112.43,66.91,23847.06,4.51,21.72,0.368
Ketapang,2022,105.93,67.92,34313.99,9.39,24.33,0.346
Sintang,2022,114.15,67.86,17330.4,8.57,19.36,0.405
Kapuas Hulu,2022,116.6,66.7,12187.1,8.59,22.61,0.44
Sekadau,2022,109.66,65.58,7884.13,5.85,23.51,0.421
Melawi,2022,113.22,66.81,6176.54,11.44,21.43,0.466
Kayong Utara,2022,107.54,63.81,4980.74,9.04,16.06,0.354
Kubu Raya,2022,105.61,68.91,35341.87,4.12,21.45,0.289
Kota Pontianak,2022,103.31,80.48,44320.31,4.46,12.36,0.186
Kota Singkawang,2022,109.55,72.89,11922.12,4.67,10.4,0.25
Kotawaringin Barat,2022,104.99,73.41,26265.06,3.93,10.37,0.339
Kotawaringin Timur,2022,103.76,71.67,33357.93,5.95,12.6,0.386
Kapuas,2022,101.17,70.01,22994.94,5.52,20.91,0.406
Barito Selatan,2022,101.14,71.01,8131.63,4.88,15.03,0.396
Barito Utara,2022,102.12,71.21,14297.64,5.8,14.05,0.362
Sukamara,2022,112.4,68.94,5459.99,3.72,7.73,0.388
Lamandau,2022,109.42,71.11,7315.94,3.34,6.98,0.383
Seruyan,2022,108.72,68.24,10808.71,7.43,10.74,0.419
Katingan,2022,100.39,69.74,9965.59,5.5,9.41,0.379
Pulang Pisau,2022,101.28,69.01,6464.66,4.7,12.36,0.392
Gunung Mas,2022,113.29,71.4,8135.26,5.64,8.59,0.423
Barito Timur,2022,97.8,72.07,10948.06,6.59,14.27,0.339
Murung Raya,2022,113.51,68.63,12998.61,6.4,13.6,0.472
Kota Palangka Raya,2022,98.66,81.16,21954.87,3.61,11.83,0.224
Tanah Laut,2022,99.59,70.35,19022.37,3.86,3.61,0.342
Kotabaru,2022,99.28,69.74,33266.53,4.3,4.35,0.429
Banjar,2022,99.29,70.72,21071.26,2.79,5.22,0.373
Barito Kuala,2022,107.13,67.37,9867.87,4.75,5.78,0.275
Tapin,2022,103.08,71.02,12771.26,3.6,4.84,0.364
Hulu Sungai Selatan,2022,101.89,69.76,8442.0,4.54,5.64,0.328
Hulu Sungai Tengah,2022,99.51,69.7,7947.59,5.92,8.79,0.263
Hulu Sungai Utara,2022,101.15,66.84,5670.77,6.49,5.68,0.33
Tabalong,2022,105.05,73.13,29172.29,5.87,3.21,0.298
Tanah Bumbu,2022,99.01,71.79,31609.99,4.26,1.93,0.421
Balangan,2022,107.09,69.73,19847.84,5.83,4.65,0.395
Kota Banjarmasin,2022,106.16,77.97,38498.37,4.74,4.06,0.206
Kota Banjar Baru,2022,101.74,79.68,11786.38,4.17,2.72,0.206
Paser,2022,109.7,73.44,76262.46,9.43,20.54,0.337
Kutai Barat,2022,119.51,72.92,43410.26,10.2,16.39,0.416
Kutai Kartanegara,2022,109.54,74.67,240392.59,7.96,18.52,0.294
Kutai Timur,2022,118.5,74.35,211101.48,9.28,16.35,0.371
Berau,2022,113.67,75.74,60158.16,5.65,14.16,0.308
Penajam Paser Utara,2022,116.91,72.55,13128.96,7.25,23.09,0.333
Mahakam Ulu,2022,142.97,68.75,3169.29,11.55,18.22,0.337
Kota Balikpapan,2022,108.36,81.13,127371.53,2.45,13.68,0.131
Kota Samarinda,2022,107.03,81.43,83353.69,4.85,14.5,0.224
Kota Bontang,2022,114.15,80.94,63107.88,4.54,11.72,0.218
Malinau,2022,98.11,72.75,17908.54,6.64,19.89,0.375
Bulungan,2022,102.58,72.08,24336.84,9.32,22.21,0.293
Tana Tidung,2022,103.02,68.6,8851.81,4.45,21.82,0.341
Nunukan,2022,114.09,67.16,40062.51,6.13,27.98,0.352
Kota Tarakan,2022,106.3,76.68,47205.89,6.3,20.68,0.221
Bolaang Mongondow,2022,98.0,68.95,9776.24,7.04,6.82,0.38
Minahasa,2022,102.76,76.18,20369.1,7.05,5.38,0.335
Kepulauan Sangihe,2022,113.15,71.63,5223.11,10.5,9.29,0.223
Kepulauan Talaud,2022,123.6,70.43,2631.25,8.25,6.85,0.252
Minahasa Selatan,2022,99.8,72.89,10526.85,9.0,9.66,0.312
Minahasa Utara,2022,112.87,74.69,17225.06,6.6,6.87,0.289
Bolaang Mongondow Utara,2022,95.22,68.06,2982.22,7.31,7.35,0.383
Siau Tagulandang Biaro,2022,114.08,68.94,2856.4,8.2,8.23,0.236
Minahasa Tenggara,2022,95.66,71.48,6147.38,11.78,8.11,0.387
Bolaang Mongondow Selatan,2022,99.46,65.9,2503.52,11.92,7.28,0.38
Bolaang Mongondow Timur,2022,105.91,67.21,3532.94,5.85,6.28,0.432
Kota Manado,2022,109.67,79.66,43920.44,5.85,5.01,0.177
Kota Bitung,2022,101.6,74.7,20620.28,6.2,3.46,0.299
Kota Tomohon,2022,101.42,77.44,5034.35,5.26,3.24,0.267
Kota Kotamobagu,2022,102.09,73.96,4412.66,5.19,5.53,0.27
Banggai Kepulauan,2022,94.14,66.08,4568.79,13.44,16.26,0.387
Banggai,2022,94.04,71.08,40766.13,7.33,11.85,0.368
Morowali,2022,101.22,72.55,146772.47,12.58,6.69,0.348
Poso,2022,88.77,71.93,10891.35,15.18,8.98,0.327
Donggala,2022,86.06,66.25,13780.85,16.3,14.81,0.36
Toli-Toli,2022,93.73,66.76,9697.26,12.74,14.23,0.356
Buol,2022,93.99,68.72,6712.64,12.85,10.03,0.292
Parigi Moutong,2022,88.23,66.26,20061.5,14.63,12.36,0.379
Tojo Una-Una,2022,88.96,65.54,6376.49,16.12,9.31,0.383
Sigi,2022,82.43,69.05,10599.54,12.3,14.12,0.354
Banggai Laut,2022,103.9,66.22,2803.56,13.17,11.26,0.395
Morowali Utara,2022,103.58,68.97,21081.54,12.97,7.4,0.298
Kota Palu,2022,86.47,82.02,28445.14,6.63,11.95,0.265
Kepulauan Selayar,2022,103.82,68.35,7480.47,12.24,13.6,0.254
Bulukumba,2022,90.65,70.34,17233.31,7.39,14.7,0.29
Bantaeng,2022,90.16,69.69,12164.14,9.07,11.58,0.294
Jeneponto,2022,93.71,65.13,11779.83,13.73,15.15,0.345
Takalar,2022,88.36,68.31,12257.05,8.25,14.23,0.263
Gowa,2022,92.89,70.99,25611.85,7.36,11.5,0.3
Sinjai,2022,89.14,68.33,13530.37,8.8,11.93,0.273
Maros,2022,90.02,71.0,23544.3,9.43,9.72,0.285
Pangkajene dan Kepulauan,2022,88.9,69.79,30481.86,13.92,6.15,0.284
Barru,2022,87.44,71.53,8878.37,8.4,11.81,0.262
Bone,2022,96.96,67.01,43640.84,10.58,15.01,0.336
Soppeng,2022,91.71,69.7,13741.84,7.49,15.03,0.3
Wajo,2022,97.57,70.26,24352.78,6.57,12.09,0.3
Sidenreng Rappang,2022,90.91,72.06,16699.0,5.11,8.71,0.226
Pinrang,2022,90.78,71.97,23765.15,8.79,12.21,0.256
Enrekang,2022,95.95,73.39,9025.31,12.39,11.32,0.202
Luwu,2022,96.52,71.36,19980.97,12.49,11.78,0.26
Tana Toraja,2022,105.71,69.88,8757.44,12.18,15.03,0.268
Luwu Utara,2022,100.51,70.51,16050.74,13.22,9.05,0.369
Luwu Timur,2022,107.47,73.92,28410.41,6.81,8.77,0.311
Toraja Utara,2022,102.66,70.36,11311.31,11.65,11.35,0.253
Kota Makasar,2022,100.0,83.12,208935.79,4.58,6.35,0.203
Kota Parepare,2022,95.69,78.54,8697.28,5.41,6.71,0.192
Kota Palopo,2022,101.93,78.91,9767.89,7.78,5.62,0.232
Buton,2022,106.52,67.23,4591.95,13.27,20.76,0.315
Muna,2022,96.15,69.61,8261.39,13.41,22.55,0.249
Konawe,2022,89.87,72.04,14269.55,12.75,14.57,0.398
Kolaka,2022,92.41,73.98,31397.2,11.51,13.86,0.363
Konawe Selatan,2022,93.37,69.36,14536.5,11.08,17.76,0.411
Bombana,2022,98.1,66.81,7780.3,10.26,16.4,0.396
Wakatobi,2022,105.01,70.85,5240.83,14.55,20.75,0.346
Kolaka Utara,2022,90.81,70.39,10096.0,13.08,11.6,0.397
Buton Utara,2022,107.23,69.0,3801.58,14.26,16.66,0.381
Konawe Utara,2022,95.78,71.1,4799.25,13.72,9.01,0.408
Kolaka Timur,2022,90.74,68.73,5273.68,13.57,17.3,0.411
Konawe Kepulauan,2022,94.31,66.69,1579.45,16.15,19.74,0.295
Muna Barat,2022,97.38,66.21,3070.0,13.85,20.0,0.309
Buton Tengah,2022,111.23,65.29,2794.15,14.9,15.78,0.351
Buton Selatan,2022,109.91,65.44,3314.1,14.41,14.08,0.262
Kota Kendari,2022,89.23,84.51,26455.95,4.57,15.51,0.205
Kota Baubau,2022,102.69,76.67,10711.39,7.31,24.6,0.296
Boalemo,2022,99.13,67.27,6115.74,18.74,19.09,0.405
Gorontalo,2022,95.84,68.28,14894.03,15.42,19.01,0.349
Pohuwato,2022,93.81,66.53,7539.74,17.87,20.02,0.425
Bone Bolango,2022,94.52,70.9,5280.23,16.05,17.59,0.297
Gorontalo Utara,2022,97.55,66.01,3856.32,17.24,22.84,0.343
Kota Gorontalo,2022,91.06,78.22,9759.18,5.73,15.17,0.153
Majene,2022,80.55,67.84,5539.8,15.13,9.25,0.276
Polewali Mandar,2022,80.04,64.79,14844.36,16.39,10.4,0.333
Mamasa,2022,100.01,67.21,3289.82,14.51,17.58,0.32
Mamuju,2022,88.34,68.88,13385.01,7.63,9.04,0.434
Mamuju Utara / Pasangkayu,2022,92.88,68.61,13188.21,5.09,5.19,0.425
Mamuju Tengah,2022,84.48,66.89,3812.08,7.17,6.98,0.339
Maluku Tenggara Barat / Kepulauan Tanimbar,2022,117.96,63.45,3151.12,23.88,35.03,0.24
Maluku Tenggara,2022,111.0,66.88,3784.95,21.19,28.78,0.193
Maluku Tengah,2022,102.36,71.81,9987.11,17.46,36.9,0.219
Buru,2022,103.9,69.94,2769.85,15.82,34.38,0.282
Kepulauan Aru,2022,108.91,64.21,4044.35,23.51,33.74,0.212
Seram Bagian Barat,2022,101.64,66.67,3500.43,22.25,37.77,0.23
Seram Bagian Timur,2022,102.06,65.05,3638.14,20.73,30.54,0.246
Maluku Barat Daya,2022,121.68,63.07,2268.6,27.64,27.22,0.177
Buru Selatan,2022,108.18,65.37,1632.3,14.75,29.96,0.262
Kota Ambon,2022,100.62,81.63,17159.5,4.68,24.13,0.129
Kota Tual,2022,111.6,68.6,2909.68,20.56,35.29,0.219
Halmahera Barat,2022,110.54,66.2,2543.32,8.43,38.0,0.355
Halmahera Tengah,2022,113.94,66.49,21311.23,12.0,25.51,0.339
Kepulauan Sula,2022,116.19,64.7,2866.06,7.64,42.37,0.24
Halmahera Selatan,2022,109.54,65.06,14328.1,4.99,30.67,0.35
Halmahera Utara,2022,105.58,68.38,6496.7,4.58,28.38,0.353
Halmahera Timur,2022,102.89,67.93,4192.86,13.14,31.48,0.404
Pulau Morotai,2022,108.92,63.8,1762.24,5.42,26.8,0.351
Pulau Taliabu,2022,114.67,61.64,1877.04,6.88,38.62,0.377
Kota Ternate,2022,113.38,80.81,12274.82,3.11,24.6,0.22
Kota Tidore Kepulauan,2022,111.07,71.55,3297.24,5.99,30.02,0.221
Fakfak,2022,117.96,69.12,5590.94,22.06,20.23,0.261
Kaimana,2022,116.06,66.11,2740.71,15.29,29.24,0.207
Teluk Wondama,2022,117.36,60.87,1651.7,30.06,32.26,0.312
Teluk Bintuni,2022,144.22,65.27,34935.0,29.73,27.69,0.31
Manokwari,2022,114.43,72.6,10203.39,19.9,28.7,0.33
Manokwari Selatan,2022,132.18,60.68,890.53,28.55,30.42,0.312
Pegunungan Arfak,2022,151.52,57.01,279.97,33.71,54.83,0.446
Raja Ampat,2022,124.79,64.65,4065.18,17.32,29.02,0.31
Sorong,2022,115.09,66.69,11575.39,27.58,28.93,0.318
Sorong Selatan,2022,118.97,63.08,2108.92,18.48,40.87,0.275
Maybrat,2022,128.63,60.49,786.32,31.14,19.49,0.279
Tambrauw,2022,130.39,54.63,256.42,32.45,41.74,0.267
Kota Sorong,2022,117.26,78.98,16178.58,14.96,28.1,0.235
Jayapura,2022,118.75,72.67,18261.29,11.94,27.04,0.296
Kepulauan Yapen,2022,128.94,68.41,4660.05,26.15,37.79,0.231
Biak Numfor,2022,130.13,72.85,5865.16,24.48,44.3,0.22
Sarmi,2022,142.74,64.86,3315.8,13.76,40.04,0.204
Keerom,2022,138.87,67.24,3204.76,15.77,38.99,0.288
Waropen,2022,137.68,65.67,2310.87,30.22,33.26,0.278
Supiori,2022,140.95,63.65,1139.38,37.7,21.39,0.249
Mamberamo Raya,2022,179.63,53.1,1973.02,30.73,51.4,0.336
Kota Jayapura,2022,129.17,80.61,35364.9,11.12,24.1,0.232
Merauke,2022,143.1,71.24,17418.94,10.1,24.37,0.344
Boven Digoel,2022,140.02,62.52,5092.41,20.04,38.47,0.297
Mappi,2022,150.06,59.61,3361.92,26.04,39.54,0.4
Asmat,2022,149.32,52.22,2883.56,24.87,33.4,0.308
Mimika,2022,120.51,75.08,110424.11,14.28,31.44,0.298
