kabupaten,tahun,Indeks Kemahalan Konstruksi Kabupaten/Kota
Pelalawan,2021,93.65
Siak,2021,96.85
Kampar,2021,87.41
Rokan Hulu,2021,88.99
Bengkalis,2021,98.35
Rokan Hilir,2021,101.04
Kepulauan Meranti,2021,109.75
Kota Pekanbaru,2021,91.8
Kota Dumai,2021,99.29
Kerinci,2021,98.1
Merangin,2021,85.88
Sarolangun,2021,91.5
Batang Hari,2021,92.55
Muaro Jambi,2021,93.75
Tanjung Jabung Timur,2021,98.94
Tanjung Jabung Barat,2021,101.92
Tebo,2021,85.66
Bungo,2021,85.7
Kota Jambi,2021,92.3
Kota Sungai Penuh,2021,95.78
Ogan Komering Ulu,2021,89.09
Ogan Komering Ilir,2021,92.97
Muara Enim,2021,97.76
Lahat,2021,87.36
Musi Rawas,2021,92.52
Musi Banyuasin,2021,94.21
Banyu Asin,2021,93.33
Ogan Komering Ulu Selatan,2021,91
Ogan Komering Ulu Timur,2021,96.28
Ogan Ilir,2021,90.39
Empat Lawang,2021,87.16
Penukal Abab Lematang Ilir,2021,99.2
Musi Rawas Utara,2021,88.65
Kota Palembang,2021,86.44
Kota Prabumulih,2021,91.42
Kota Pagar Alam,2021,96.98
Kota Lubuklinggau,2021,83.71
Bengkulu Selatan,2021,91.84
Rejang Lebong,2021,91.89
Bengkulu Utara,2021,94.34
Kaur,2021,97.83
Seluma,2021,96.77
Mukomuko,2021,95.74
Lebong,2021,94.85
Kepahiang,2021,92.95
Bengkulu Tengah,2021,93.97
Kota Bengkulu,2021,94.22
Lampung Barat,2021,101.05
Tanggamus,2021,89.08
Lampung Selatan,2021,89.53
Lampung Timur,2021,87.99
Lampung Tengah,2021,85.82
Lampung Utara,2021,85.88
Way Kanan,2021,92.28
Tulangbawang,2021,92.75
Pesawaran,2021,87.54
Pringsewu,2021,90.97
Mesuji,2021,103.07
Tulang Bawang Barat,2021,102.56
Pesisir Barat,2021,104.74
Kota Bandar Lampung,2021,89.77
Kota Metro,2021,88.71
Bangka,2021,101.18
Belitung,2021,101.38
Bangka Barat,2021,100.36
Bangka Tengah,2021,100.18
Bangka Selatan,2021,101.62
Belitung Timur,2021,102.64
Kota Pangkal Pinang,2021,101.17
Karimun,2021,108.98
Bintan,2021,108.04
Natuna,2021,128.08
Lingga,2021,118.45
Kepulauan Anambas,2021,133.26
Kota Batam,2021,110.4
Kota Tanjung Pinang,2021,112.88
Kep. Seribu,2021,131.85
Kota Jakarta Selatan,2021,122.42
Kota Jakarta Timur,2021,119.76
Kota Jakarta Pusat,2021,117.86
Kota Jakarta Barat,2021,120.01
Kota Jakarta Utara,2021,117.21
Bogor,2021,116.99
Sukabumi,2021,99.39
Cianjur,2021,101.48
Bandung,2021,105.22
Garut,2021,93.66
Tasikmalaya,2021,100.83
Ciamis,2021,92.52
Kuningan,2021,96.83
Cirebon,2021,105.75
Majalengka,2021,102.64
Sumedang,2021,101.48
Indramayu,2021,108.61
Subang,2021,102.4
Purwakarta,2021,101.5
Karawang,2021,102.09
Bekasi,2021,105.6
Bandung Barat,2021,110.92
Pangandaran,2021,88.56
Kota Bogor,2021,116.07
Kota Sukabumi,2021,99.05
Kota Bandung,2021,110.91
Kota Cirebon,2021,97.18
Kota Bekasi,2021,106.57
Kota Depok,2021,109.8
Kota Cimahi,2021,103.55
Kota Tasikmalaya,2021,101.35
Kota Banjar,2021,95.11
Cilacap,2021,92.58
Banyumas,2021,92.31
Purbalingga,2021,89.15
Banjarnegara,2021,93.14
Kebumen,2021,97.85
Purworejo,2021,96.31
Wonosobo,2021,98.97
Magelang,2021,94.02
Boyolali,2021,97.92
Klaten,2021,95.28
Sukoharjo,2021,95.96
Wonogiri,2021,98.23
Karanganyar,2021,100.96
Sragen,2021,101.47
Grobogan,2021,98.81
Blora,2021,96.38
Rembang,2021,99.67
Pati,2021,99.51
Kudus,2021,101.85
Jepara,2021,101.87
Demak,2021,105.79
Semarang,2021,105.45
Temanggung,2021,97.83
Kendal,2021,97.43
Batang,2021,95.8
Pekalongan,2021,96
Pemalang,2021,97.08
Tegal,2021,97.73
Brebes,2021,98.3
Kota Magelang,2021,94.12
Kota Surakarta,2021,96.1
Kota Salatiga,2021,99.49
Kota Semarang,2021,100.23
Kota Pekalongan,2021,95.8
Kota Tegal,2021,100.63
Kulon Progo,2021,98
Bantul,2021,98.59
Gunung Kidul,2021,103.31
Sleman,2021,99.63
Kota Yogyakarta,2021,102.11
Pacitan,2021,98.63
Ponorogo,2021,101.96
Trenggalek,2021,95.53
Tulungagung,2021,99.76
Blitar,2021,95.01
Kediri,2021,95.24
Malang,2021,105.2
Lumajang,2021,99.7
Jember,2021,98.69
Banyuwangi,2021,102.91
Bondowoso,2021,96.06
Situbondo,2021,99.21
Probolinggo,2021,95.17
Pasuruan,2021,101.56
Sidoarjo,2021,110.65
Mojokerto,2021,101.87
Jombang,2021,100.69
Nganjuk,2021,101.58
Madiun,2021,100.66
Magetan,2021,102.78
Ngawi,2021,97.34
