kabupaten,tahun,PDRB
Labuhan Batu,2021,37606.88
Asahan,2021,41994.24
Simalungun,2021,42576.88
Dairi,2021,9710.8
Karo,2021,21824.14
Deli Serdang,2021,115306.31
Langkat,2021,46301.2
Nias Selatan,2021,7420.63
Humbang Hasundutan,2021,6356.73
Pakpak Bharat,2021,1270.71
Samosir,2021,4755.23
Serdang Bedagai,2021,30418.85
Batu Bara,2021,37197.71
Padang Lawas Utara,2021,13137.92
Padang Lawas,2021,13139.14
Labuhan Batu Selatan,2021,30754.13
Labuhan Batu Utara,2021,27400.5
Nias Utara,2021,3875.07
Nias Barat,2021,2020
Kota Sibolga,2021,5796.11
Kota Tanjung Balai,2021,9632.7
Kota Pematang Siantar,2021,14208.23
Kota Tebing Tinggi,2021,6349.95
Kota Medan,2021,254721.96
Kota Binjai,2021,12317.15
Kota Padangsidimpuan,2021,6784.4
Kota Gunungsitoli,2021,6017.55
Kepulauan Mentawai,2021,4843.91
Pesisir Selatan,2021,14926.57
Solok,2021,14178.06
Sijunjung,2021,9567.67
Tanah Datar,2021,13590.94
Padang Pariaman,2021,18455.09
Agam,2021,21440.41
Lima Puluh Kota,2021,16182.39
Pasaman,2021,9432.45
Solok Selatan,2021,5777.98
Dharmasraya,2021,10757.47
Pasaman Barat,2021,15933.88
Kota Padang,2021,65178.86
Kota Solok,2021,4251.89
Kota Sawah Lunto,2021,3851.69
Kota Padang Panjang,2021,3651.12
Kota Bukittinggi,2021,9026.56
Kota Payakumbuh,2021,7302.51
Kota Pariaman,2021,5258.66
Kuantan Singingi,2021,38755.92
Indragiri Hulu,2021,47736.97
Indragiri Hilir,2021,73352.31
Pelalawan,2021,57618.56
Siak,2021,89636.13
Kampar,2021,86455.98
Rokan Hulu,2021,42177.46
Bengkalis,2021,139613.5
Rokan Hilir,2021,80102.63
Kepulauan Meranti,2021,21093.09
Kota Pekanbaru,2021,126525.25
Kota Dumai,2021,39946.11
Kerinci,2021,11237.96
Merangin,2021,17837.35
Sarolangun,2021,16558.99
Batang Hari,2021,18809.26
Muaro Jambi,2021,27558.34
Tanjung Jabung Timur,2021,21783.66
Tanjung Jabung Barat,2021,42080.58
Tebo,2021,16949.29
Bungo,2021,20082.89
Kota Jambi,2021,31918.63
Kota Sungai Penuh,2021,7980.86
Ogan Komering Ulu,2021,15730.26
Ogan Komering Ilir,2021,35991.36
Muara Enim,2021,69569.67
Lahat,2021,19635.54
Musi Rawas,2021,20412.49
Musi Banyuasin,2021,72643.72
Banyu Asin,2021,30992.96
Ogan Komering Ulu Selatan,2021,9530.24
Ogan Komering Ulu Timur,2021,16243.46
Ogan Ilir,2021,12048.82
Empat Lawang,2021,5391.04
Penukal Abab Lematang Ilir,2021,7527.14
Musi Rawas Utara,2021,7744
Kota Palembang,2021,162032.8
Kota Prabumulih,2021,8345.93
Kota Pagar Alam,2021,3001.94
Kota Lubuklinggau,2021,7030.47
Bengkulu Selatan,2021,6196.61
Rejang Lebong,2021,10091.53
Bengkulu Utara,2021,9854.65
