Kabupaten,Tahun,Persentase Penduduk Miskin (P0)
Halmahera Tengah,2020,13.56
Kepulauan Sula,2020,8.35
Halmahera Selatan,2020,5.21
Halmahera Utara,2020,4.45
Halmahera Timur,2020,15.45
Pulau Morotai,2020,6.46
Pulau Taliabu,2020,7.3
Kota Ternate,2020,3.46
Kota Tidore Kepulauan,2020,6.52
Fakfak,2020,22.27
Kaimana,2020,15.5
Teluk Wondama,2020,30.91
Teluk Bintuni,2020,29.39
Manokwari,2020,20.14
Sorong Selatan,2020,18.28
Sorong,2020,27.48
Raja Ampat,2020,17.01
Tambrauw,2020,32.8
Maybrat,2020,30.78
Manokwari Selatan,2020,28.88
Pegunungan Arfak,2020,33.81
Kota Sorong,2020,14.99
Merauke,2020,10.03
Jayawijaya,2020,37.22
Jayapura,2020,12.44
Nabire,2020,24.15
Kepulauan Yapen,2020,26.3
Biak Numfor,2020,24.57
Paniai,2020,36.71
Puncak Jaya,2020,34.74
Mimika,2020,14.26
Boven Digoel,2020,19.41
Mappi,2020,25.04
Asmat,2020,25.49
Yahukimo,2020,37.34
Pegunungan Bintang,2020,30.15
Tolikara,2020,32.04
Sarmi,2020,13.87
Keerom,2020,16.32
Waropen,2020,29.54
Supiori,2020,36.91
Mamberamo Raya,2020,36.41
Nduga,2020,36.72
Lanny Jaya,2020,38.13
Mamberamo Tengah,2020,28.38
Yalimo,2020,32.82
Puncak,2020,36.96
Dogiyai,2020,28.62
Intan Jaya,2020,40.71
Deiyai,2020,41.76
Kota Jayapura,2020,11.16
Simeulue,2021,18.98
Aceh Singkil,2021,20.36
Aceh Selatan,2021,13.18
Aceh Tenggara,2021,13.41
Aceh Timur,2021,14.45
Aceh Tengah,2021,15.26
Aceh Barat,2021,18.81
Aceh Besar,2021,14.05
Pidie,2021,19.59
Bireuen,2021,13.25
Aceh Utara,2021,17.43
Aceh Barat Daya,2021,16.34
Gayo Lues,2021,19.64
Aceh Tamiang,2021,13.34
Nagan Raya,2021,18.23
Aceh Jaya,2021,13.23
Bener Meriah,2021,19.16
Pidie Jaya,2021,19.55
Kota Banda Aceh,2021,7.61
Kota Sabang,2021,15.32
Kota Langsa,2021,10.96
Kota Lhokseumawe,2021,11.16
Kota Subulussalam,2021,17.65
Nias,2021,16.82
Mandailing Natal,2021,9.49
Tapanuli Selatan,2021,8.8
Tapanuli Tengah,2021,12.67
Tapanuli Utara,2021,9.72
Toba Samosir / Toba,2021,8.99
Labuhan Batu,2021,8.74
Asahan,2021,9.35
Simalungun,2021,8.81
Dairi,2021,8.31
Karo,2021,8.79
Deli Serdang,2021,4.01
Langkat,2021,10.12
Nias Selatan,2021,16.92
Humbang Hasundutan,2021,9.65
Pakpak Bharat,2021,9.35
Samosir,2021,12.68
Serdang Bedagai,2021,8.3
Batu Bara,2021,12.38
Padang Lawas Utara,2021,9.92
Padang Lawas,2021,8.69
Labuhan Batu Selatan,2021,8.53
Labuhan Batu Utara,2021,10.02
Nias Utara,2021,25.66
Nias Barat,2021,26.42
Kota Sibolga,2021,12.33
Kota Tanjung Balai,2021,13.4
Kota Pematang Siantar,2021,8.52
Kota Tebing Tinggi,2021,10.3
Kota Medan,2021,8.34
Kota Binjai,2021,5.81
Kota Padangsidimpuan,2021,7.53
Kota Gunungsitoli,2021,16.45
Kepulauan Mentawai,2021,14.84
Pesisir Selatan,2021,7.92
Solok,2021,8.01
Sijunjung,2021,6.8
Tanah Datar,2021,4.54
Padang Pariaman,2021,7.22
Agam,2021,6.85
Lima Puluh Kota,2021,7.29
Pasaman,2021,7.48
Solok Selatan,2021,7.52
Dharmasraya,2021,6.67
Pasaman Barat,2021,7.51
Kota Padang,2021,4.94
Kota Solok,2021,3.12
Kota Sawah Lunto,2021,2.38
Kota Padang Panjang,2021,5.92
Kota Bukittinggi,2021,5.14
Kota Payakumbuh,2021,6.16
Kota Pariaman,2021,4.38
Kuantan Singingi,2021,8.97
Indragiri Hulu,2021,6.18
Indragiri Hilir,2021,6.18
Pelalawan,2021,9.63
Siak,2021,5.18
Kampar,2021,7.82
Rokan Hulu,2021,10.4
Bengkalis,2021,6.64
