Kabupaten,Tahun,Proporsi Perempuan Pernah Kawin 15-49 tahun yang Melahirkan Anak Lahir Hidup Yang Pertama Kali Berumur Kurang dari 20 tahun Menurut Kabupaten/Kota
Mamuju,2020,0.374
Mamuju Utara / Pasangkayu,2020,0.41
Mamuju Tengah,2020,0.361
Maluku Tenggara Barat / Kepulauan Tanimbar,2020,0.211
Maluku Tenggara,2020,0.233
Maluku Tengah,2020,0.212
Buru,2020,0.327
Kepulauan Aru,2020,0.215
Seram Bagian Barat,2020,0.234
Seram Bagian Timur,2020,0.236
Maluku Barat Daya,2020,0.169
Buru Selatan,2020,0.253
Kota Ambon,2020,0.155
Kota Tual,2020,0.185
Halmahera Barat,2020,0.341
Halmahera Tengah,2020,0.393
Kepulauan Sula,2020,0.288
Halmahera Selatan,2020,0.391
Halmahera Utara,2020,0.368
Halmahera Timur,2020,0.349
Pulau Morotai,2020,0.368
Pulau Taliabu,2020,0.375
Kota Ternate,2020,0.172
Kota Tidore Kepulauan,2020,0.254
Fakfak,2020,0.251
Kaimana,2020,0.278
Teluk Wondama,2020,0.315
Teluk Bintuni,2020,0.336
Manokwari,2020,0.377
Sorong Selatan,2020,0.345
Sorong,2020,0.309
Raja Ampat,2020,0.296
Tambrauw,2020,0.261
Maybrat,2020,0.277
Manokwari Selatan,2020,0.343
Pegunungan Arfak,2020,0.387
Kota Sorong,2020,0.23
Merauke,2020,0.294
Jayawijaya,2020,0.177
Jayapura,2020,0.268
Nabire,2020,0.33
Kepulauan Yapen,2020,0.255
Biak Numfor,2020,0.296
Paniai,2020,0.325
Puncak Jaya,2020,0.143
Mimika,2020,0.287
Boven Digoel,2020,0.255
Mappi,2020,0.375
Asmat,2020,0.334
Yahukimo,2020,0.447
Pegunungan Bintang,2020,0.432
Tolikara,2020,0.182
Sarmi,2020,0.291
Keerom,2020,0.318
Waropen,2020,0.345
Supiori,2020,0.335
Mamberamo Raya,2020,0.152
Nduga,2020,0.294
Lanny Jaya,2020,0.203
Mamberamo Tengah,2020,0.184
Yalimo,2020,0.213
Puncak,2020,0.391
Dogiyai,2020,0.349
Intan Jaya,2020,0.453
Deiyai,2020,0.176
Kota Jayapura,2020,0.237
Simeulue,2021,0.221
Aceh Singkil,2021,0.311
Aceh Selatan,2021,0.195
Aceh Tenggara,2021,0.231
Aceh Timur,2021,0.241
Aceh Tengah,2021,0.259
Aceh Barat,2021,0.195
Aceh Besar,2021,0.185
Pidie,2021,0.132
Bireuen,2021,0.168
Aceh Utara,2021,0.22
Aceh Barat Daya,2021,0.256
Gayo Lues,2021,0.308
Aceh Tamiang,2021,0.21
Nagan Raya,2021,0.288
Aceh Jaya,2021,0.36
Bener Meriah,2021,0.212
Pidie Jaya,2021,0.146
Kota Banda Aceh,2021,0.072
Kota Sabang,2021,0.168
Kota Langsa,2021,0.15
Kota Lhokseumawe,2021,0.182
Kota Subulussalam,2021,0.355
Nias,2021,0.269
Mandailing Natal,2021,0.234
Tapanuli Selatan,2021,0.152
Tapanuli Tengah,2021,0.14
Tapanuli Utara,2021,0.084
Toba Samosir / Toba,2021,0.072
Labuhan Batu,2021,0.199
Asahan,2021,0.157
Simalungun,2021,0.151
Dairi,2021,0.068
Karo,2021,0.145
Deli Serdang,2021,0.149
Langkat,2021,0.221
Nias Selatan,2021,0.305
Humbang Hasundutan,2021,0.096
Pakpak Bharat,2021,0.109
Samosir,2021,0.069
Serdang Bedagai,2021,0.173
Batu Bara,2021,0.215
Padang Lawas Utara,2021,0.22
Padang Lawas,2021,0.276
Labuhan Batu Selatan,2021,0.192
Labuhan Batu Utara,2021,0.23
Nias Utara,2021,0.268
Nias Barat,2021,0.21
Kota Sibolga,2021,0.13
Kota Tanjung Balai,2021,0.204
Kota Pematang Siantar,2021,0.079
Kota Tebing Tinggi,2021,0.111
Kota Medan,2021,0.089
Kota Binjai,2021,0.14
Kota Padangsidimpuan,2021,0.112
Kota Gunungsitoli,2021,0.173
Kepulauan Mentawai,2021,0.359
Pesisir Selatan,2021,0.201
Solok,2021,0.222
Sijunjung,2021,0.327
Tanah Datar,2021,0.124
Padang Pariaman,2021,0.11
Agam,2021,0.095
Lima Puluh Kota,2021,0.26
Pasaman,2021,0.226
Solok Selatan,2021,0.251
Dharmasraya,2021,0.263
Pasaman Barat,2021,0.224
Kota Padang,2021,0.077
Kota Solok,2021,0.106
Kota Sawah Lunto,2021,0.135
Kota Padang Panjang,2021,0.142
Kota Bukittinggi,2021,0.037
Kota Payakumbuh,2021,0.097
Kota Pariaman,2021,0.064
Kuantan Singingi,2021,0.286
Indragiri Hulu,2021,0.293
Indragiri Hilir,2021,0.32
Pelalawan,2021,0.26
Siak,2021,0.142
Kampar,2021,0.225
Rokan Hulu,2021,0.269
Bengkalis,2021,0.14
Rokan Hilir,2021,0.258
Kepulauan Meranti,2021,0.174
Kota Pekanbaru,2021,0.09
Kota Dumai,2021,0.131
Kerinci,2021,0.328
Merangin,2021,0.412
Sarolangun,2021,0.355
Batang Hari,2021,0.332
Muaro Jambi,2021,0.251
Tanjung Jabung Timur,2021,0.375
Tanjung Jabung Barat,2021,0.311
Tebo,2021,0.393
Bungo,2021,0.437
Kota Jambi,2021,0.081
Kota Sungai Penuh,2021,0.219
Ogan Komering Ulu,2021,0.329
Ogan Komering Ilir,2021,0.387
Muara Enim,2021,0.351
Lahat,2021,0.269
Musi Rawas,2021,0.358
Musi Banyuasin,2021,0.382
Banyu Asin,2021,0.287
Ogan Komering Ulu Selatan,2021,0.339
Ogan Komering Ulu Timur,2021,0.364
Ogan Ilir,2021,0.304
Empat Lawang,2021,0.323
Penukal Abab Lematang Ilir,2021,0.456
Musi Rawas Utara,2021,0.391
Kota Palembang,2021,0.158
Kota Prabumulih,2021,0.205
Kota Pagar Alam,2021,0.182
Kota Lubuklinggau,2021,0.299
Bengkulu Selatan,2021,0.281
Rejang Lebong,2021,0.331
Bengkulu Utara,2021,0.32
Kaur,2021,0.371
Seluma,2021,0.393
Mukomuko,2021,0.401
Lebong,2021,0.341
Kepahiang,2021,0.361
Bengkulu Tengah,2021,0.44
Kota Bengkulu,2021,0.178
Lampung Barat,2021,0.334
Tanggamus,2021,0.251
Lampung Selatan,2021,0.308
Lampung Timur,2021,0.237
Lampung Tengah,2021,0.277
Lampung Utara,2021,0.296
Way Kanan,2021,0.383
Tulangbawang,2021,0.378
Pesawaran,2021,0.272
Pringsewu,2021,0.228
Mesuji,2021,0.354
Tulang Bawang Barat,2021,0.341
Pesisir Barat,2021,0.245
Kota Bandar Lampung,2021,0.162
Kota Metro,2021,0.14
Bangka,2021,0.306
Belitung,2021,0.322
Bangka Barat,2021,0.374
Bangka Tengah,2021,0.35
Bangka Selatan,2021,0.435
Belitung Timur,2021,0.338
Kota Pangkal Pinang,2021,0.127
Karimun,2021,0.169
Bintan,2021,0.173
Natuna,2021,0.287
Lingga,2021,0.203
Kepulauan Anambas,2021,0.295
Kota Batam,2021,0.088
Kota Tanjung Pinang,2021,0.091
Kep. Seribu,2021,0.336
Kota Jakarta Selatan,2021,0.11
Kota Jakarta Timur,2021,0.115
Kota Jakarta Pusat,2021,0.102
Kota Jakarta Barat,2021,0.17
Kota Jakarta Utara,2021,0.2
Bogor,2021,0.328
Sukabumi,2021,0.396
Cianjur,2021,0.426
Bandung,2021,0.308
Garut,2021,0.4
Tasikmalaya,2021,0.347
Ciamis,2021,0.298
Kuningan,2021,0.228
Cirebon,2021,0.256
Majalengka,2021,0.326
Sumedang,2021,0.338
Indramayu,2021,0.337
Subang,2021,0.334
Purwakarta,2021,0.371
Karawang,2021,0.33
Bekasi,2021,0.264
Bandung Barat,2021,0.408
Pangandaran,2021,0.3
Kota Bogor,2021,0.197
Kota Sukabumi,2021,0.228
Kota Bandung,2021,0.202
Kota Cirebon,2021,0.203
Kota Bekasi,2021,0.152
Kota Depok,2021,0.14
Kota Cimahi,2021,0.174
Kota Tasikmalaya,2021,0.187
Kota Banjar,2021,0.261
Cilacap,2021,0.265
Banyumas,2021,0.21
Purbalingga,2021,0.333
Banjarnegara,2021,0.414
Kebumen,2021,0.178
Purworejo,2021,0.193
Wonosobo,2021,0.425
Magelang,2021,0.258
Boyolali,2021,0.237
Klaten,2021,0.155
Sukoharjo,2021,0.152
Wonogiri,2021,0.217
Karanganyar,2021,0.183
Sragen,2021,0.229
Grobogan,2021,0.424
Blora,2021,0.343
Rembang,2021,0.354
Pati,2021,0.291
Kudus,2021,0.216
Jepara,2021,0.345
Demak,2021,0.295
Semarang,2021,0.231
Temanggung,2021,0.38
Kendal,2021,0.255
Batang,2021,0.361
Pekalongan,2021,0.277
Pemalang,2021,0.332
Tegal,2021,0.19
Brebes,2021,0.361
Kota Magelang,2021,0.111
Kota Surakarta,2021,0.102
Kota Salatiga,2021,0.161
Kota Semarang,2021,0.103
Kota Pekalongan,2021,0.104
Kota Tegal,2021,0.18
Kulon Progo,2021,0.087
Bantul,2021,0.1
Gunung Kidul,2021,0.261
Sleman,2021,0.128
Kota Yogyakarta,2021,0.119
Pacitan,2021,0.26
Ponorogo,2021,0.165
Trenggalek,2021,0.283
Tulungagung,2021,0.181
Blitar,2021,0.19
Kediri,2021,0.222
Malang,2021,0.301
Lumajang,2021,0.379
Jember,2021,0.44
Banyuwangi,2021,0.276
Bondowoso,2021,0.47
Situbondo,2021,0.413
Probolinggo,2021,0.54
Pasuruan,2021,0.325
Sidoarjo,2021,0.121
Mojokerto,2021,0.249
Jombang,2021,0.212
Nganjuk,2021,0.216
Madiun,2021,0.158
Magetan,2021,0.159
Ngawi,2021,0.207
Bojonegoro,2021,0.281
Tuban,2021,0.248
Lamongan,2021,0.211
Gresik,2021,0.177
Bangkalan,2021,0.268
Sampang,2021,0.345
Pamekasan,2021,0.329
Sumenep,2021,0.406
Kota Kediri,2021,0.122
Kota Blitar,2021,0.158
Kota Malang,2021,0.135
Kota Probolinggo,2021,0.255
Kota Pasuruan,2021,0.156
Kota Mojokerto,2021,0.122
Kota Madiun,2021,0.064
Kota Surabaya,2021,0.149
Kota Batu,2021,0.25
Pandeglang,2021,0.385
Lebak,2021,0.436
Tangerang,2021,0.237
Serang,2021,0.29
Kota Tangerang,2021,0.166
Kota Cilegon,2021,0.197
Kota Serang,2021,0.247
Kota Tangerang Selatan,2021,0.162
Jembrana,2021,0.266
Tabanan,2021,0.15
Badung,2021,0.119
Gianyar,2021,0.148
Klungkung,2021,0.179
Bangli,2021,0.308
Karangasem,2021,0.272
Buleleng,2021,0.269
Kota Denpasar,2021,0.147
Lombok Barat,2021,0.376
Lombok Tengah,2021,0.376
Lombok Timur,2021,0.333
Sumbawa,2021,0.217
Dompu,2021,0.254
Bima,2021,0.2
Sumbawa Barat,2021,0.201
Lombok Utara,2021,0.302
Kota Mataram,2021,0.277
Kota Bima,2021,0.166
Sumba Barat,2021,0.184
Sumba Timur,2021,0.232
Kupang,2021,0.18
Timor Tengah Selatan,2021,0.199
Timor Tengah Utara,2021,0.268
Belu,2021,0.218
Alor,2021,0.199
Lembata,2021,0.152
Flores Timur,2021,0.183
Sikka,2021,0.197
Ende,2021,0.149
Ngada,2021,0.147
Manggarai,2021,0.173
Rote Ndao,2021,0.265
Manggarai Barat,2021,0.189
Sumba Tengah,2021,0.132
Sumba Barat Daya,2021,0.16
Nagekeo,2021,0.114
Manggarai Timur,2021,0.231
Sabu Raijua,2021,0.271
Malaka,2021,0.228
Kota Kupang,2021,0.117
Sambas,2021,0.239
Bengkayang,2021,0.29
Landak,2021,0.395
Mempawah,2021,0.312
Sanggau,2021,0.368
Ketapang,2021,0.346
Sintang,2021,0.405
Kapuas Hulu,2021,0.44
Sekadau,2021,0.421
Melawi,2021,0.466
Kayong Utara,2021,0.354
Kubu Raya,2021,0.289
Kota Pontianak,2021,0.186
Kota Singkawang,2021,0.25
Kotawaringin Barat,2021,0.339
Kotawaringin Timur,2021,0.386
Kapuas,2021,0.406
Barito Selatan,2021,0.396
Barito Utara,2021,0.362
Sukamara,2021,0.388
Lamandau,2021,0.383
Seruyan,2021,0.419
Katingan,2021,0.379
Pulang Pisau,2021,0.392
Gunung Mas,2021,0.423
Barito Timur,2021,0.339
