Kabupaten,Tahun,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen) Per Kabupaten_kota
Lampung Tengah,2021,11.42
Lampung Utara,2021,11
Way Kanan,2021,10.33
Tulangbawang,2021,11.22
Pesawaran,2021,12.68
Pringsewu,2021,11.64
Mesuji,2021,9.76
Tulang Bawang Barat,2021,12.66
Pesisir Barat,2021,6.89
Kota Bandar Lampung,2021,5.91
Kota Metro,2021,8.27
Bangka,2021,11.36
Belitung,2021,9.7
Bangka Barat,2021,12.63
Bangka Tengah,2021,10.87
Bangka Selatan,2021,12.1
Belitung Timur,2021,10.27
Kota Pangkal Pinang,2021,9.63
Karimun,2021,11.36
Bintan,2021,12.54
Natuna,2021,11.67
Lingga,2021,14.38
Kepulauan Anambas,2021,9.6
Kota Batam,2021,5.95
Kota Tanjung Pinang,2021,8.75
Kep. Seribu,2021,2.41
Kota Jakarta Selatan,2021,1.63
Kota Jakarta Timur,2021,2.24
Kota Jakarta Pusat,2021,3.08
Kota Jakarta Barat,2021,2
Kota Jakarta Utara,2021,2.63
Bogor,2021,4.73
Sukabumi,2021,4.81
Cianjur,2021,6.2
Bandung,2021,5.53
Garut,2021,5
Tasikmalaya,2021,7.12
Ciamis,2021,5.87
Kuningan,2021,3.73
Cirebon,2021,6.19
Majalengka,2021,4.94
Sumedang,2021,5.09
Indramayu,2021,3.97
Subang,2021,4.16
Purwakarta,2021,3.45
Karawang,2021,4.8
Bekasi,2021,2.38
Bandung Barat,2021,6.04
Pangandaran,2021,4.32
Kota Bogor,2021,3.08
Kota Sukabumi,2021,4.9
Kota Bandung,2021,2.92
Kota Cirebon,2021,5.71
Kota Bekasi,2021,1.79
Kota Depok,2021,1.55
Kota Cimahi,2021,3.23
Kota Tasikmalaya,2021,5.35
Kota Banjar,2021,5.93
Cilacap,2021,15.15
Banyumas,2021,12.01
Purbalingga,2021,12.15
Banjarnegara,2021,12.41
Kebumen,2021,13.52
Purworejo,2021,15.87
Wonosobo,2021,15.37
Magelang,2021,15.23
Boyolali,2021,13.46
Klaten,2021,14.72
Sukoharjo,2021,11.92
Wonogiri,2021,13.68
Karanganyar,2021,11.92
Sragen,2021,11.8
Grobogan,2021,18.18
Blora,2021,14.02
Rembang,2021,12.89
Pati,2021,11.2
Kudus,2021,11.01
Jepara,2021,11.71
Demak,2021,8.8
Semarang,2021,10.84
Temanggung,2021,18.48
Kendal,2021,14.62
Batang,2021,11.54
Pekalongan,2021,8.22
Pemalang,2021,10.59
Tegal,2021,11.29
Brebes,2021,11.22
Kota Magelang,2021,11.07
Kota Surakarta,2021,7.74
Kota Salatiga,2021,6.89
Kota Semarang,2021,6.66
Kota Pekalongan,2021,7.72
Kota Tegal,2021,7.62
Kulon Progo,2021,14.23
Bantul,2021,9.57
Gunung Kidul,2021,13.27
Sleman,2021,6.95
Kota Yogyakarta,2021,10.59
Pacitan,2021,14.81
Ponorogo,2021,11.96
Trenggalek,2021,13.84
Tulungagung,2021,8.26
Blitar,2021,11.27
Kediri,2021,9.53
Malang,2021,11.05
Lumajang,2021,7.84
Jember,2021,11.05
Banyuwangi,2021,9.25
Bondowoso,2021,13.6
Situbondo,2021,15.67
Probolinggo,2021,11.96
Pasuruan,2021,10.28
Sidoarjo,2021,4.84
Mojokerto,2021,6.6
Jombang,2021,8.78
Nganjuk,2021,9.65
Madiun,2021,13.43
Magetan,2021,10.51
Ngawi,2021,12.23
Bojonegoro,2021,9.96
Tuban,2021,9.12
Lamongan,2021,6.41
Gresik,2021,4.59
Bangkalan,2021,10.37
Sampang,2021,10.81
Pamekasan,2021,11.88
Sumenep,2021,7.93
Kota Kediri,2021,6.37
Kota Blitar,2021,6.25
Kota Malang,2021,6.04
Kota Probolinggo,2021,5.46
Kota Pasuruan,2021,5.84
Kota Mojokerto,2021,6.13
Kota Madiun,2021,5.05
Kota Surabaya,2021,3.72
Kota Batu,2021,5.98
Pandeglang,2021,4.37
Lebak,2021,3.87
Tangerang,2021,2.65
Serang,2021,3.03
Kota Tangerang,2021,2.16
Kota Cilegon,2021,2.46
Kota Serang,2021,1.99
Kota Tangerang Selatan,2021,1.89
Jembrana,2021,9.9
Tabanan,2021,6.35
Badung,2021,4.48
Gianyar,2021,3.92
Klungkung,2021,10.9
Bangli,2021,7.25
Karangasem,2021,13.42
Buleleng,2021,10.15
Kota Denpasar,2021,5.79
Lombok Barat,2021,2.32
Lombok Tengah,2021,2.18
Lombok Timur,2021,0.98
Sumbawa,2021,1.96
Dompu,2021,1.91
Bima,2021,2.7
Sumbawa Barat,2021,1.03
Lombok Utara,2021,2.91
Kota Mataram,2021,0.96
Kota Bima,2021,0.94
Sumba Barat,2021,8
Sumba Timur,2021,10.04
Kupang,2021,16.21
Timor Tengah Selatan,2021,13.88
Timor Tengah Utara,2021,10.42
Belu,2021,11.47
Alor,2021,11.98
Lembata,2021,17.93
Flores Timur,2021,16.21
Sikka,2021,15.18
Ende,2021,9.56
Ngada,2021,7.49
Manggarai,2021,8.84
Rote Ndao,2021,16.2
Manggarai Barat,2021,7.78
Sumba Tengah,2021,9.72
Sumba Barat Daya,2021,9.74
Nagekeo,2021,12.03
Manggarai Timur,2021,10.5
Sabu Raijua,2021,9.23
Malaka,2021,13.77
Kota Kupang,2021,10.66
Sambas,2021,21.96
Bengkayang,2021,17.95
Landak,2021,20.44
Mempawah,2021,23.22
Sanggau,2021,22.76
Ketapang,2021,19.21
Sintang,2021,20.32
Kapuas Hulu,2021,21.19
Sekadau,2021,23.77
Melawi,2021,21.08
Kayong Utara,2021,15.79
Kubu Raya,2021,22.08
Kota Pontianak,2021,12.54
Kota Singkawang,2021,11.21
Kotawaringin Barat,2021,7.01
Kotawaringin Timur,2021,8.32
Kapuas,2021,14.48
Barito Selatan,2021,9.31
Barito Utara,2021,9.61
Sukamara,2021,6.66
Lamandau,2021,5.74
Seruyan,2021,7.18
